Element,Crystal System,Space Group,Space Group Number,a (Å),b (Å),c (Å),alpha (°),beta (°),gamma (°),Volume (Å³),Z,Density (g/cm³),Traditional Radius (Å),Volume Radius (Å),Corrected Volume Radius (Å),Primary Radius (Å),Atomic Volume (Å³),Coordination Number,Filename
Si,diamond,F d -3 m S,227,5.43053,5.43053,5.43053,90.0,90.0,90.0,160.15,8.0,2.33,1.1757442340033768,1.6844163523228612,1.527765631556835,1.527765631556835,20.01875,4.0,Si_(diamond)_EntryWithCollCode51688.cif
Sm,α-La,P 63/m m c,194,3.6199,3.6199,11.68,90.0,90.0,120.0,132.55,4.0,7.53,1.80995,1.9925552715657713,1.8088416755274073,1.8088416755274073,33.1375,12.0,Sm_(α-La)_EntryWithCollCode52482.cif
Sn,"Multiple: diamond, β-Sn",F d -3 m S,227,6.1619,6.1619,4.83545,90.0,90.0,90.0,190.785,6.0,6.525,2.1611265062797473,1.93781180218539,1.7575953045821486,1.7575953045821486,30.6175,5.0,"Averaged from 2 files: Sn_(diamond)_EntryWithCollCode40039.cif, Sn_(β-Sn)_EntryWithCollCode252800.cif"
Sr,fcc,F m -3 m,225,6.0849,6.0849,6.0849,90.0,90.0,90.0,225.3,4.0,2.58,2.1513370264210114,2.3779580946281036,2.1513386882100454,2.1513386882100454,56.325,12.0,Sr_(fcc)_EntryWithCollCode76162.cif
Ta,bcc,I m -3 m,229,3.2959,3.2959,3.2959,90.0,90.0,90.0,35.8,2.0,16.78,1.4271665641665656,1.622761917385183,1.4061232014142613,1.4061232014142613,17.9,8.0,Ta_(bcc)_EntryWithCollCode151407.cif
Tb,hcp,P 63/m m c,194,3.6092,3.6092,5.6966,90.0,90.0,120.0,64.26,2.0,8.21,1.8046,1.9721534579954634,1.791898631934678,1.791898631934678,32.13,12.0,Tb_(hcp)_EntryWithCollCode104192.cif
Tc,hcp,P 63/m m c,194,2.7407,2.7407,4.398,90.0,90.0,120.0,28.61,2.0,11.49,1.37035,1.5059125441334795,1.3682721375996794,1.3682721375996794,14.305,12.0,Tc_(hcp)_EntryWithCollCode653014.cif
Te,γ-Se,P 31 2 1,152,4.4593,4.4593,5.9282,90.0,90.0,120.0,102.09,3.0,6.23,2.22965,2.010285684179543,1.8233291155508455,1.8233291155508455,34.03,2.0,Te_(γ-Se)_EntryWithCollCode161690.cif
Th,fcc,F m -3 m,225,5.0838,5.0838,5.0838,90.0,90.0,90.0,131.39,4.0,11.73,1.797394727098085,1.9867256735330625,1.7973907168453616,1.7973907168453616,32.8475,12.0,Th_(fcc)_EntryWithCollCode653236.cif
Ti,hcp,P 63/m m c,194,2.9514,2.9514,4.6814,90.0,90.0,120.0,35.32,2.0,4.5,1.4757,1.6154766928258775,1.4678221231015922,1.4678221231015922,17.66,12.0,Ti_(hcp)_EntryWithCollCode253841.cif
Tl,hcp,P 63/m m c,194,3.4566,3.4566,5.5248,90.0,90.0,120.0,57.17,2.0,11.87,1.7283,1.896778110490057,1.7234125911912657,1.7234125911912657,28.585,12.0,Tl_(hcp)_EntryWithCollCode77372.cif
Tm,hcp,P 63/m m c,194,3.5375,3.5375,5.5546,90.0,90.0,120.0,60.2,2.0,9.32,1.76875,1.9297125830957196,1.7533368530007707,1.7533368530007707,30.1,12.0,Tm_(hcp)_EntryWithCollCode102661.cif
U,U,C m c m,63,2.869,5.87,4.955,90.0,90.0,90.0,83.45,4.0,18.95,1.2060903745583693,1.7077563680962404,1.471703753722626,1.471703753722626,20.8625,8.0,U_(U)_EntryWithCollCode43339.cif
V,bcc,I m -3 m,229,3.0283,3.0283,3.0283,90.0,90.0,90.0,27.77,2.0,6.09,1.3112923651402077,1.491027859649838,1.2919756403865847,1.2919756403865847,13.885,8.0,V_(bcc)_EntryWithCollCode241938.cif
W,bcc,I m -3 m,229,3.16522,3.16522,3.16522,90.0,90.0,90.0,31.71,2.0,19.25,1.3705804642832904,1.5584488243826746,1.3503959063275877,1.3503959063275877,15.855,8.0,W_(bcc)_EntryWithCollCode43667.cif
Xe,"Multiple: fcc, hcp",F m -3 m,225,5.23585,5.23585,6.61085,90.0,90.0,105.0,173.095,3.0,3.775,2.168941662550388,2.3975675503439433,2.1737571840423744,2.1737571840423744,57.730000000000004,12.0,"Averaged from 2 files: Xe_(fcc)_EntryWithCollCode43428.cif, Xe_(hcp)_EntryWithCollCode9786.cif"
Y,hcp,P 63/m m c,194,3.6631,3.6631,5.8147,90.0,90.0,120.0,67.57,2.0,4.37,1.83155,2.0054496893337976,1.8221515877286885,1.8221515877286885,33.785,12.0,Y_(hcp)_EntryWithCollCode95176.cif
Yb,fcc,F m -3 m,225,5.4847,5.4847,5.4847,90.0,90.0,90.0,164.99,4.0,6.97,1.9391342813869286,2.143398918792152,1.9391330018312598,1.9391330018312598,41.2475,12.0,Yb_(fcc)_EntryWithCollCode653477.cif
Zn,hcp,P 63/m m c,194,2.66357,2.66357,4.9457,90.0,90.0,120.0,30.39,2.0,7.14,1.331785,1.5365169836953936,1.3960793313856346,1.3960793313856346,15.195,12.0,Zn_(hcp)_EntryWithCollCode421014.cif
Zr,hcp,P 63/m m c,194,3.2573,3.2573,5.19884,90.0,90.0,120.0,47.77,2.0,6.34,1.62865,1.7865378105392382,1.6232482546559517,1.6232482546559517,23.885,12.0,Zr_(hcp)_EntryWithCollCode253516.cif
